name	type	units	low_cutoff	high_cutoff	reference	group	sampling_frequency	description	notch	status	status_description
X01-X02	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X05-X06	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X09-X10	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
X10-X11	SEEG	µV	n/a	n/a	intracranial	X	4096	SEEG	n/a	good	n/a
M01-M02	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M02-M03	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M03-M04	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M04-M05	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M05-M06	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
M08-M09	SEEG	µV	n/a	n/a	intracranial	M	4096	SEEG	n/a	good	n/a
N01-N02	SEEG	µV	n/a	n/a	intracranial	N	4096	SEEG	n/a	good	n/a
N02-N03	SEEG	µV	n/a	n/a	intracranial	N	4096	SEEG	n/a	good	n/a
N03-N04	SEEG	µV	n/a	n/a	intracranial	N	4096	SEEG	n/a	good	n/a
N06-N07	SEEG	µV	n/a	n/a	intracranial	N	4096	SEEG	n/a	good	n/a
W01-W02	SEEG	µV	n/a	n/a	intracranial	W	4096	SEEG	n/a	good	n/a
W02-W03	SEEG	µV	n/a	n/a	intracranial	W	4096	SEEG	n/a	good	n/a
W03-W04	SEEG	µV	n/a	n/a	intracranial	W	4096	SEEG	n/a	good	n/a
W04-W05	SEEG	µV	n/a	n/a	intracranial	W	4096	SEEG	n/a	good	n/a
W05-W06	SEEG	µV	n/a	n/a	intracranial	W	4096	SEEG	n/a	good	n/a
W09-W10	SEEG	µV	n/a	n/a	intracranial	W	4096	SEEG	n/a	good	n/a
W10-W11	SEEG	µV	n/a	n/a	intracranial	W	4096	SEEG	n/a	good	n/a
W11-W12	SEEG	µV	n/a	n/a	intracranial	W	4096	SEEG	n/a	good	n/a
O01-O02	SEEG	µV	n/a	n/a	intracranial	O	4096	SEEG	n/a	good	n/a
O02-O03	SEEG	µV	n/a	n/a	intracranial	O	4096	SEEG	n/a	good	n/a
P05-P06	SEEG	µV	n/a	n/a	intracranial	P	4096	SEEG	n/a	good	n/a
P01-P02	SEEG	µV	n/a	n/a	intracranial	P	4096	SEEG	n/a	good	n/a
P14-P15	SEEG	µV	n/a	n/a	intracranial	P	4096	SEEG	n/a	good	n/a
R01-R02	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
R02-R03	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
R11-R12	SEEG	µV	n/a	n/a	intracranial	R	4096	SEEG	n/a	good	n/a
S06-S07	SEEG	µV	n/a	n/a	intracranial	S	4096	SEEG	n/a	good	n/a
S07-S08	SEEG	µV	n/a	n/a	intracranial	S	4096	SEEG	n/a	good	n/a
Z01-Z02	SEEG	µV	n/a	n/a	intracranial	Z	4096	SEEG	n/a	good	n/a
Z04-Z05	SEEG	µV	n/a	n/a	intracranial	Z	4096	SEEG	n/a	good	n/a
Z07-Z08	SEEG	µV	n/a	n/a	intracranial	Z	4096	SEEG	n/a	good	n/a
Y01-Y02	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y07-Y08	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
Y16-Y17	SEEG	µV	n/a	n/a	intracranial	Y	4096	SEEG	n/a	good	n/a
